question,video_path
キャバクラを辞めたいと思った時、お店に引き止められますか？,/Users/yusaku/kakeru/videos/9ff11c8d-2c3d-47be-9b6c-a3d1f4b1b444.png.mp4
時給が高く出る女の子の特徴は何ですか？,/Users/yusaku/kakeru/videos/496346f6-a39d-4203-9420-e535f7042a65.png.mp4
時給アップのためにすぐにできることはありますか？,/Users/yusaku/kakeru/videos/772ac8a5-4ee3-45ff-b9a3-e8fc1d90fdd1.png.mp4
大阪ミナミエリアではタトゥーがあっても働けますか？,/Users/yusaku/kakeru/videos/f721775b-3451-40e2-b9a3-a6035c2acbbf.png.mp4
ミナミでタトゥーがあっても働ける可能性がある具体的な店舗はありますか？,/Users/yusaku/kakeru/videos/9d7f7308-5b78-4790-8706-e5d8286bd4d5.png.mp4
キャバクラで働いて毎月200万円稼ぐと、税務署に目をつけられますか？,/Users/yusaku/kakeru/videos/d8a800b1-ed9b-4d62-9a21-ab80bdb17acb.png.mp4
給与の手渡しと振り込みで税務署へのバレやすさは変わりますか？,/Users/yusaku/kakeru/videos/3676385f-7878-4fb7-80c4-2e1231aeef5d.png.mp4
大阪の北新地とミナミのキャバクラの雰囲気の違いは何ですか？,/Users/yusaku/kakeru/videos/90f2ab74-aed1-4543-8036-eaa5abd24b71.png.mp4
キャバクラで働く際に最低限必要な持ち物は何ですか？,/Users/yusaku/kakeru/videos/ddf97e76-1b72-4d67-b9ac-db2480f93a46.png.mp4
なぜハンカチが2枚必要なのですか？,/Users/yusaku/kakeru/videos/8723dc0f-70b9-4361-9f1a-317917f05112.png.mp4
ドレスや靴はレンタルできますか？,/Users/yusaku/kakeru/videos/80f1944c-de7c-458d-9d59-8a1123ed7f85.png.mp4
キャバクラやガールズバーでの売上は何によって決まりますか？,/Users/yusaku/kakeru/videos/ecd363a2-9f90-4344-a269-a2911ac9e8a1.png.mp4
キャバクラで働くために整形する人はいますか？,/Users/yusaku/kakeru/videos/3edc1333-8731-45d8-aac2-f9c8fdc2c63c.png.mp4
固定のお客様をつけるために大切なことは何ですか？,/Users/yusaku/kakeru/videos/e4581c76-781c-494e-b271-bc515a6d7db7.png.mp4
固定客作りで避けるべき態度は何ですか？,/Users/yusaku/kakeru/videos/8768caf5-1c7f-471e-aead-4f3e41654fb3.png.mp4
固定客作りで意識すべきことは何ですか？,/Users/yusaku/kakeru/videos/a8a8f588-d319-4f3b-9e00-4c0dce60cd1a.png.mp4
学生や社会人でもキャバクラと両立できますか？,/Users/yusaku/kakeru/videos/221d3790-bd2f-4c62-8905-6bb14bf6c318.png.mp4
学業とキャバクラを両立するための工夫はありますか？,/Users/yusaku/kakeru/videos/c260e81e-2b5f-477c-9b73-ced7c092d806.png.mp4
体験入店は可能ですか？給与は日払いでもらえますか？,/Users/yusaku/kakeru/videos/210b7d1d-84e7-4fee-8d1f-1e4ea2b7da3d.png.mp4
体験入店時の時給について教えてください。,/Users/yusaku/kakeru/videos/662a3938-2b8a-4a17-bb5a-63cb742ed211.png.mp4
大阪ミナミで時給1万円は普通ですか？,/Users/yusaku/kakeru/videos/92c6f5d4-d286-48d0-bb5a-e0650f2ca0d5.png.mp4
大阪のキャバクラの平均的な時給はどのくらいですか？,/Users/yusaku/kakeru/videos/91d53e48-9af9-4383-993d-83990ae597ec.png.mp4
時給が低い店舗の特徴はありますか？,/Users/yusaku/kakeru/videos/81475b0d-1137-4e5a-9447-6224d3dc1e1f.png.mp4
時給の高さは働く上でどのように影響しますか？,/Users/yusaku/kakeru/videos/2fdc1c43-ac98-45ed-b4b7-10da62778575.png.mp4
キャバクラの給料システムにはどのようなものがありますか？,/Users/yusaku/kakeru/videos/acde5887-f152-443e-8da9-37ab7a8303d9.png.mp4
スライド制の給料システムはどのような人におすすめですか？,/Users/yusaku/kakeru/videos/a3227e65-ef68-48ca-bdb3-3132dbc94766.png.mp4
キャバクラで働く上で、身分証は何が必要ですか？,/Users/yusaku/kakeru/videos/4f52fcce-3bc1-438d-9929-414148fdc260.png.mp4
